plantripId,vehiculeId,trajetId,plannerId,travelerId,add_at,start_at,end_at
986,739,234,2287,1186,6230-03-07 17:06:02,6230-03-08 17:06:02,6235-10-31 17:06:02
383,71,652,3868,2028,5593-01-11 01:10:56,5593-01-12 01:10:56,5595-06-07 01:10:56
783,714,697,4327,4290,5851-07-01 22:37:21,5851-07-02 22:37:21,5857-05-02 22:37:21
583,293,239,911,2383,4991-05-08 01:39:30,4991-05-09 01:39:30,4995-07-02 01:39:30
178,400,278,4281,1414,5819-10-11 03:04:13,5819-10-12 03:04:13,5820-08-04 03:04:13
571,670,338,2462,2691,6435-06-03 10:06:22,6435-06-04 10:06:22,6435-10-01 10:06:22
238,218,824,3477,4402,5683-06-03 05:28:35,5683-06-04 05:28:35,5686-03-20 05:28:35
83,519,349,1736,2536,6263-12-03 18:26:52,6263-12-04 18:26:52,6265-03-11 18:26:52
773,874,220,1178,2875,6294-07-19 00:35:08,6294-07-20 00:35:08,6295-02-22 00:35:08
230,285,988,692,135,6342-12-04 13:01:46,6342-12-05 13:01:46,6344-06-05 13:01:46
717,763,618,1348,73,5269-04-21 01:57:30,5269-04-22 01:57:30,5276-12-29 01:57:30
867,375,143,1891,4117,6045-03-29 21:59:09,6045-03-30 21:59:09,6046-05-20 21:59:09
127,666,883,2671,2304,6653-07-18 23:11:41,6653-07-19 23:11:41,6658-12-15 23:11:41
297,118,261,2612,361,6956-02-14 17:53:27,6956-02-15 17:53:27,6960-03-07 17:53:27
7,924,518,4698,4459,5652-06-28 22:52:29,5652-06-29 22:52:29,5655-10-12 22:52:29
841,866,372,4003,482,5147-07-04 14:44:27,5147-07-05 14:44:27,5152-09-07 14:44:27
313,484,804,1151,2670,5855-07-19 19:58:03,5855-07-20 19:58:03,5861-01-10 19:58:03
994,404,336,3726,2102,6849-03-30 07:33:58,6849-03-31 07:33:58,6852-04-02 07:33:58
342,463,418,2899,1144,6154-04-22 20:13:05,6154-04-23 20:13:05,6155-07-27 20:13:05
959,359,799,2523,4838,6233-06-21 04:24:41,6233-06-22 04:24:41,6237-06-03 04:24:41
494,827,833,4352,4787,5393-01-08 17:17:51,5393-01-09 17:17:51,5395-06-13 17:17:51
648,432,123,4806,1420,5949-03-21 14:33:43,5949-03-22 14:33:43,5954-02-06 14:33:43
378,474,630,823,2041,4977-03-14 14:56:20,4977-03-15 14:56:20,4977-12-29 14:56:20
498,638,793,4469,3619,6192-06-14 13:11:44,6192-06-15 13:11:44,6197-10-13 13:11:44
365,65,103,455,2798,6331-10-13 20:04:36,6331-10-14 20:04:36,6334-11-17 20:04:36
927,674,617,1867,1136,6135-08-23 23:58:25,6135-08-24 23:58:25,6136-05-23 23:58:25
146,321,603,2573,3221,5593-04-15 17:53:27,5593-04-16 17:53:27,5600-06-26 17:53:27
961,15,874,4167,593,6556-11-16 08:34:25,6556-11-17 08:34:25,6564-07-23 08:34:25
854,473,595,1099,22,4990-07-30 15:17:07,4990-07-31 15:17:07,4991-03-16 15:17:07
92,6,165,1138,4812,6189-10-12 12:38:46,6189-10-13 12:38:46,6196-05-28 12:38:46
263,232,143,4740,3693,6716-05-25 21:50:12,6716-05-26 21:50:12,6719-08-02 21:50:12
555,350,71,881,2433,6358-01-21 20:31:51,6358-01-22 20:31:51,6364-08-09 20:31:51
65,681,984,3848,171,7097-10-22 20:02:03,7097-10-23 20:02:03,7100-07-19 20:02:03
174,153,490,2052,971,6122-10-30 15:34:25,6122-10-31 15:34:25,6124-11-17 15:34:25
126,129,491,265,1777,6538-03-22 23:52:44,6538-03-23 23:52:44,6539-03-12 23:52:44
85,675,339,480,4307,6874-03-09 18:10:43,6874-03-10 18:10:43,6877-10-05 18:10:43
620,72,599,1239,2959,6512-02-08 21:31:23,6512-02-09 21:31:23,6517-06-03 21:31:23
869,583,454,1693,1236,5350-03-18 13:14:26,5350-03-19 13:14:26,5352-06-13 13:14:26
