trajetId,start_place,end_place,price
234,Bonaberi,Bonakouamouang,9900
652,Douala,Mora,500
697,Limbe,Batibo,6900
239,Edéa,Buea,5100
278,Bandjoun,Mutengene,7300
338,Boutours,Kousseri,1700
824,Bafang,Meiganga,7900
349,Yagoua,Mbandjock,3500
220,Bonamoussadi,Dibombari,7500
988,Nkongsamba,Edéa,5300
618,Bertoua,Meiganga,900
143,Kumba,Nanga-Eboko,8100
883,Kumba,Mora,6100
261,Belabo,Bogo,3700
518,Yagoua,Douala,3900
372,Bonakouamouang,Bogo,7500
804,Maroua,Bertoua,5500
336,Bafia,Figuif,2300
418,Mokolo,Banga Bakundu,9700
799,Maroua,Bonaberi,9900
833,Maroua,Essos,3900
123,Mutengene,Bonakouamouang,9300
630,Melong,Edéa,4300
793,Nkongsamba,Bertoua,1500
103,Messa,Kousseri,1900
617,Edéa,Mutengene,2900
603,Nanga-Eboko,Fontem,1500
874,Yaounde,Bonaberi,9500
595,Bafoussam,Nanga-Eboko,3300
165,Kousseri,Mokolo,5700
143,Kousseri,Figuif,900
71,Bonakouamouang,Fontem,9300
984,Bandjoun,Bali,2100
490,Bali,Bali Nyonga,2100
491,Nkongsamba,Gazawa,500
339,Yaounde,Bali,1100
599,Melong,Yaounde,3100
454,Bonamoussadi,Bonabéri,100
387,Boutours,Nanga-Eboko,8900
36,Kribi,Yaounde,9900
335,Mbouda,Dibombari,1100
691,Garoua,Fontem,1300
712,Mutengene,Gazawa,9500
996,Bali,Guider,9900
986,Muyuka,Mbouda,1900
514,Bertoua,Bafia,300
990,Bafia,Bertoua,3700
983,Melong,Fontem,4500
313,Essos,Fontem,7300
890,Bamenda,Bafang,500
64,Mutengene,Boutours,5500
404,Messa,Banga Bakundu,2300
51,Banga Bakundu,Mokolo,5500
442,Kumba,Fontem,7300
855,Kumba,Dibombari,6100
839,Figuif,Bonabéri,9700
178,Boutours,Messa,900
9,Bonabéri,Bali Nyonga,9500
811,Meiganga,Bimbia,8300
95,Bali Nyonga,Bertoua,3700
795,Gazawa,Batibo,6100
327,Bonakouamouang,Bimbia,5300
202,Mbandjock,Mbalmayo,1900
919,Bandjoun,Mutengene,5500
482,Mbalmayo,Figuif,700
605,Mora,Bafia,6900
466,Dibombari,Bonabéri,3500
776,Mutengene,Bogo,7500
659,Dibombari,Douala,7300
507,Meiganga,Mbouda,2900
341,Muyuka,Campo,4900
188,Banga Bakundu,Limbe,300
68,Yagoua,Bonabéri,300
801,Messa,Loum,9500
581,Bimbia,Bonanjo,8500
824,Muyuka,Mbalmayo,7100
562,Figuif,Mbanga,7500
949,Boutours,Mora,9900
918,Mokolo,Bimbia,4700
900,Kribi,Mokolo,3700
333,Figuif,Gazawa,3700
961,Mokolo,Garoua,1100
710,Bandjoun,Bali Nyonga,9700
742,Bonamoussadi,Bertoua,3100
735,Bimbia,Yaounde,8500
621,Bali,Kousseri,2500
364,Nanga-Eboko,Melong,5300
356,Guider,Bonabéri,8100
137,Melong,Mutengene,6300
4,Mbanga,Meiganga,4100
383,Bertoua,Kribi,2500
440,Nanga-Eboko,Garoua,100
940,Nanga-Eboko,Mora,6300
196,Kumba,Mbandjock,1500
393,Meiganga,Limbe,5700
597,Guider,Bamenda,2700
366,Bali Nyonga,Mora,1900
461,Mbalmayo,Bamenda,9300
525,Muyuka,Beti,5700
61,Bafang,Bamenda,3300
655,Dibombari,Belabo,6700
135,Edéa,Douala,7100
838,Figuif,Mokolo,1100
332,Campo,Mutengene,7300
94,Gazawa,Bafia,3900
164,Dibombari,Essos,5700
234,Boutours,Gazawa,5300
786,Belo,Mokolo,2300
295,Bamenda,Buea,100
827,Bali Nyonga,Nanga-Eboko,9700
174,Campo,Melong,9900
607,Mbandjock,Buea,9500
288,Loum,Mora,2100
959,Maroua,Belo,3500
715,Messa,Bertoua,4900
113,Bonanjo,Mbalmayo,1100
330,Banga Bakundu,Edéa,8900
688,Bali,Limbe,6700
696,Melong,Buea,6900
204,Bamenda,Guider,2500
178,Bertoua,Beti,2500
116,Mutengene,Bonanjo,5700
791,Bafia,Yagoua,3700
644,Messa,Nkongsamba,9900
315,Bonaberi,Dibombari,6500
