vehiculeId,plannerId
235,4962
186,4397
540,4330
134,643
884,3035
698,1902
376,4408
244,4185
848,4549
177,1015
118,760
322,4739
758,2488
957,3805
582,2727
898,2292
51,2873
622,821
950,4644
433,3477
827,1163
228,2049
137,4439
665,238
865,1007
211,1970
751,4172
727,3669
430,4968
472,4642
797,4677
441,4114
202,3895
22,1840
874,875
885,528
984,1103
956,4599
59,52
877,476
172,4103
789,430
188,2653
998,257
134,1883
967,1631
514,4327
160,4617
306,1778
787,1124
241,1831
836,1303
59,4042
7,3409
908,2964
296,1778
435,4820
130,3424
671,998
488,3330
730,4272
683,3575
137,4141
405,4151
666,599
710,708
820,3314
414,2487
146,2771
127,3798
651,2383
50,143
310,2857
282,143
598,4977
714,50
615,1990
129,3717
480,2658
296,4977
788,443
378,3436
652,4819
665,4598
843,7
190,4161
505,999
864,3867
905,4445
721,4790
727,2417
326,3718
678,3868
913,2386
153,909
636,4054
573,3866
617,3699
666,1820
174,4422
745,950
747,2241
491,4114
607,2169
5,4838
367,4671
512,4531
56,4309
442,3785
755,2836
794,1726
104,1280
239,4654
590,3019
954,4871
377,4172
919,3868
464,4963
276,2542
725,3396
547,706
495,3424
680,1103
764,2722
191,3147
663,2887
842,4017
536,4731
286,710
472,4709
597,488
787,1815
236,3806
321,1601
788,219
346,4422
747,4357
29,2371
956,791
880,1643
795,874
859,3798
875,1747
100,2327
412,1542
606,1584
357,2744
593,2854
694,3843
510,3680
316,4745
516,2196
629,213
688,2696
71,2307
918,2510
875,4977
462,1513
108,3165
843,4554
573,3951
993,4183
638,3762
745,2487
986,4005
232,3839
856,1508
240,2461
419,3857
580,1939
775,3529
564,4657
103,3138
800,851
583,2828
587,2721
699,2911
842,501
615,4155
329,1979
217,3374
686,726
386,451
566,2887
185,1355
159,2052
93,787
267,685
196,4306
677,3374
953,1838
753,1887
840,4628
665,4564
246,4498
886,2810
154,3953
871,1383
588,3537
815,4150
452,1840
324,1388
470,4619
448,1091
134,3839
980,14
955,2885
979,527
911,1404
601,1822
120,1733
806,2541
527,3534
18,3625
312,388
316,3771
711,4395
850,4103
502,2226
591,1538
467,1274
529,1816
39,3129
642,471
363,2183
622,181
704,4238
224,3099
487,7
316,4340
170,909
864,1829
65,196
282,1224
865,4071
433,4181
130,1247
500,4453
639,2579
62,3834
563,1595
346,164
702,3029
497,4737
526,925
760,2325
282,218
154,1823
744,4141
668,4673
468,4863
271,2776
96,4546
102,3705
461,3242
966,4295
327,238
338,3812
59,4889
708,1503
448,181
893,874
732,4151
402,2974
34,3162
572,4238
519,1167
27,2690
137,1972
814,4872
350,4317
168,365
869,4972
637,4363
717,938
424,2399
144,3534
69,2960
670,2769
430,3019
237,2167
786,4292
468,2431
348,4693
123,2947
838,4649
228,4494
393,4812
867,3221
219,975
167,1539
997,2950
484,4171
841,1558
939,4153
493,4421
623,1301
512,3146
21,4583
239,457
96,39
191,1813
218,57
109,3953
187,212
519,3641
792,219
122,4292
522,2669
5,3968
557,3088
127,2951
630,1354
225,1601
471,2456
261,2428
395,2821
481,3493
163,3437
892,1845
704,868
448,2964
969,2364
887,4018
932,2246
887,1409
90,826
302,3859
217,2100
973,4998
832,1005
135,2659
416,4439
314,56
895,3965
535,1569
816,244
861,4421
51,4239
286,3493
846,1747
667,4370
362,4494
960,1406
958,172
466,392
702,3645
188,54
555,3505
207,3868
70,1416
215,387
117,1829
24,1615
980,2403
626,2364
626,222
75,883
886,4929
305,4342
836,886
969,1649
329,1436
800,2868
660,4904
67,2899
487,3067
958,2745
994,4581
470,2014
801,4239
264,4150
725,1884
371,2915
362,1921
286,1719
786,1483
275,2128
882,4327
500,2503
419,710
204,3127
423,4968
185,3681
725,2558
450,3404
964,1252
132,162
432,1240
961,1825
429,258
388,978
76,3889
359,4863
809,4055
804,3072
391,4204
927,2147
763,1681
627,1821
814,3700
382,4790
361,3683
750,1584
402,3643
33,599
593,708
912,2828
830,4060
162,189
553,4499
787,238
173,2292
505,183
144,2536
467,2200
757,1584
466,1922
148,3534
784,4074
535,3644
202,1340
261,2262
743,3218
286,3209
788,2222
942,4253
647,446
736,21
321,1122
304,2435
112,1776
686,4376
929,4944
388,183
325,4164
544,3769
632,3960
295,1922
568,4066
959,4030
824,3790
527,3950
82,3701
239,2487
938,4427
677,4557
412,2851
292,2242
289,1683
33,3798
335,1935
947,4567
578,1584
197,4094
826,3061
261,2276
193,4629
328,4705
434,113
832,382
875,4436
743,4142
725,1158
560,582
288,4654
502,3282
310,4060
728,4363
246,4996
910,4054
756,1018
282,2788
595,4003
1000,1448
724,3383
868,504
867,1977
153,3628
785,2754
900,2924
448,3886
973,2889
719,2327
49,565
880,4292
97,2870
222,2964
546,513
529,1433
979,4515
178,1460
290,2022
541,2985
487,4253
185,4436
541,818
860,1544
812,2159
632,1768
100,1656
101,4717
268,695
895,2014
308,3146
692,183
641,238
101,4518
16,2874
758,4408
562,1394
266,3866
212,61
972,4357
565,3053
102,3700
743,414
874,973
451,479
208,2870
895,4514
675,1891
856,862
326,2022
193,939
507,911
813,4166
875,2335
134,3089
674,3314
737,3166
536,1586
153,987
944,3874
980,4757
72,3778
940,1115
891,154
867,3681
47,2732
968,205
690,210
500,4495
445,1027
915,1725
616,1244
905,3810
883,2786
386,3159
924,3868
41,3839
126,600
181,4323
879,3210
475,4545
427,613
697,327
837,2359
237,2749
340,665
694,3252
341,1396
987,4595
166,4790
729,4681
169,3715
998,2327
812,3951
162,3654
354,3687
920,4138
71,3641
774,1864
168,1854
658,3090
164,3404
391,3133
485,3413
866,2841
492,709
569,3747
371,4298
192,3190
897,4829
705,1995
662,3809
608,4162
824,4628
710,2734
6,2396
560,1109
937,4495
934,2539
504,1666
912,36
36,3134
405,4741
563,4806
873,4111
684,4906
23,3772
863,1525
696,4527
463,3361
249,4071
494,4684
567,1642
665,3804
782,4381
277,2541
401,2022
849,1675
493,1122
84,50
189,1103
692,3195
963,791
614,1615
347,851
404,3688
483,3254
758,3639
585,787
942,4352
347,4574
743,4111
