plantripId,vehiculeId,trajetId,plannerId,travelerId,add_at,start_at,end_at
522,849,10,2344,2657,6071-09-28 06:41:39,6071-09-29 06:41:39,6077-11-11 06:41:39
40,235,934,2209,47,6423-07-01 08:11:41,6423-07-02 08:11:41,6430-08-20 08:11:41
652,81,553,421,283,5578-03-08 13:56:08,5578-03-09 13:56:08,5583-03-18 13:56:08
576,399,752,229,2771,5375-03-13 07:06:30,5375-03-14 07:06:30,5382-03-02 07:06:30
447,722,446,454,2522,5279-05-04 00:18:06,5279-05-05 00:18:06,5285-04-10 00:18:06
620,993,982,2286,517,5672-08-05 00:05:20,5672-08-06 00:05:20,5674-05-22 00:05:20
705,385,684,2582,3031,7252-11-20 07:11:17,7252-11-21 07:11:17,7254-05-08 07:11:17
712,957,195,97,849,6439-03-07 14:52:04,6439-03-08 14:52:04,6442-10-05 14:52:04
542,913,260,1753,1899,6120-03-09 14:23:28,6120-03-10 14:23:28,6123-02-01 14:23:28
900,110,69,521,41,6385-12-27 05:50:12,6385-12-28 05:50:12,6393-01-21 05:50:12
784,540,355,4179,2106,6595-10-05 16:00:45,6595-10-06 16:00:45,6601-06-25 16:00:45
389,182,876,1975,3025,6385-11-27 09:36:41,6385-11-28 09:36:41,6386-01-23 09:36:41
89,743,158,653,3779,6162-04-28 08:32:47,6162-04-29 08:32:47,6164-04-07 08:32:47
6,196,408,1714,385,6407-11-21 16:56:28,6407-11-22 16:56:28,6414-09-18 16:56:28
91,549,392,1541,4513,6213-04-15 19:03:23,6213-04-16 19:03:23,6215-02-06 19:03:23
807,505,614,826,2951,5107-05-13 20:25:19,5107-05-14 20:25:19,5109-03-20 20:25:19
225,639,359,3538,343,5998-10-27 19:23:00,5998-10-28 19:23:00,6004-08-18 19:23:00
673,844,638,862,4148,5233-07-03 15:54:25,5233-07-04 15:54:25,5234-01-02 15:54:25
622,210,103,4709,2989,7162-11-30 20:24:29,7162-12-01 20:24:29,7168-12-16 20:24:29
146,221,834,2114,383,6682-06-18 09:48:42,6682-06-19 09:48:42,6682-07-22 09:48:42
789,9,740,4492,3033,5793-08-03 23:50:57,5793-08-04 23:50:57,5797-01-01 23:50:57
991,119,674,3884,211,5578-04-25 17:52:39,5578-04-26 17:52:39,5582-06-12 17:52:39
635,40,55,2528,2179,6807-12-08 10:48:02,6807-12-09 10:48:02,6808-12-15 10:48:02
666,65,667,847,4838,7000-08-23 11:24:04,7000-08-24 11:24:04,7006-06-19 11:24:04
651,252,669,2790,4394,6440-03-18 00:59:35,6440-03-19 00:59:35,6442-07-28 00:59:35
644,507,137,995,857,6089-09-10 22:03:34,6089-09-11 22:03:34,6097-06-21 22:03:34
771,195,344,522,1618,5216-04-11 21:53:55,5216-04-12 21:53:55,5216-11-16 21:53:55
284,640,427,3752,1428,5458-08-10 11:45:35,5458-08-11 11:45:35,5466-04-03 11:45:35
850,447,976,4143,2033,6509-12-11 06:54:38,6509-12-12 06:54:38,6517-08-14 06:54:38
372,302,805,1759,1211,5075-10-30 05:49:53,5075-10-31 05:49:53,5077-10-30 05:49:53
239,677,222,4440,2241,5015-10-05 02:51:05,5015-10-06 02:51:05,5023-07-21 02:51:05
581,567,580,1042,338,5474-11-17 03:50:53,5474-11-18 03:50:53,5475-01-27 03:50:53
843,703,122,4792,835,6552-07-12 20:00:36,6552-07-13 20:00:36,6556-06-06 20:00:36
269,54,395,1315,3170,5448-11-01 04:14:45,5448-11-02 04:14:45,5456-05-15 04:14:45
541,541,343,672,3111,6955-10-15 04:23:08,6955-10-16 04:23:08,6962-08-03 04:23:08
286,11,106,1924,2884,6956-10-23 01:36:05,6956-10-24 01:36:05,6962-09-16 01:36:05
929,205,561,115,464,6896-01-26 11:16:50,6896-01-27 11:16:50,6899-06-09 11:16:50
752,780,759,3984,4113,5727-08-15 19:42:32,5727-08-16 19:42:32,5732-03-04 19:42:32
17,714,288,2757,3983,5262-02-28 21:56:53,5262-03-01 21:56:53,5267-10-26 21:56:53
670,915,339,4403,4126,5114-05-14 17:04:25,5114-05-15 17:04:25,5114-07-18 17:04:25
875,322,945,2005,2988,7237-02-13 21:35:01,7237-02-14 21:35:01,7240-10-20 21:35:01
957,573,148,1105,2742,6214-11-15 09:07:12,6214-11-16 09:07:12,6222-01-31 09:07:12
31,234,548,1463,3960,5614-09-16 05:19:44,5614-09-17 05:19:44,5618-03-09 05:19:44
388,91,490,3474,2635,6837-01-31 16:43:12,6837-02-01 16:43:12,6844-03-25 16:43:12
725,876,46,1282,760,6017-06-12 12:00:41,6017-06-13 12:00:41,6018-01-08 12:00:41
496,639,955,4310,2455,5948-12-30 18:12:30,5948-12-31 18:12:30,5952-05-02 18:12:30
497,639,455,1684,1723,6854-01-24 06:25:13,6854-01-25 06:25:13,6860-10-21 06:25:13
661,655,820,1657,81,7175-10-22 00:03:39,7175-10-23 00:03:39,7176-10-26 00:03:39
771,183,559,691,2219,5057-09-25 15:41:23,5057-09-26 15:41:23,5060-08-16 15:41:23
731,836,52,3960,4081,5648-06-20 21:06:42,5648-06-21 21:06:42,5655-07-09 21:06:42
789,535,151,1362,1874,6461-04-09 21:33:43,6461-04-10 21:33:43,6466-08-29 21:33:43
103,690,962,1352,2759,6444-04-02 04:24:36,6444-04-03 04:24:36,6451-04-23 04:24:36
40,322,687,2114,2555,5928-06-20 23:56:43,5928-06-21 23:56:43,5928-12-31 23:56:43
794,86,854,2052,2672,6313-05-02 06:47:33,6313-05-03 06:47:33,6320-11-26 06:47:33
134,40,830,1607,108,5523-02-05 02:02:27,5523-02-06 02:02:27,5524-04-23 02:02:27
666,516,351,1950,639,6094-01-27 13:27:16,6094-01-28 13:27:16,6095-07-10 13:27:16
914,791,199,211,2837,6220-07-08 19:48:14,6220-07-09 19:48:14,6222-02-01 19:48:14
456,690,575,2671,846,6209-07-29 09:32:47,6209-07-30 09:32:47,6213-05-05 09:32:47
515,914,287,4895,2126,6147-02-05 23:56:33,6147-02-06 23:56:33,6153-11-03 23:56:33
691,182,847,3352,2952,5508-05-13 06:31:06,5508-05-14 06:31:06,5508-09-06 06:31:06
881,445,531,2087,4973,6589-08-18 03:17:21,6589-08-19 03:17:21,6592-09-29 03:17:21
735,507,137,1460,1784,5158-03-20 02:31:38,5158-03-21 02:31:38,5164-07-18 02:31:38
214,100,398,340,2798,6406-02-04 15:49:13,6406-02-05 15:49:13,6409-09-10 15:49:13
191,54,631,2877,1599,5956-07-25 22:15:31,5956-07-26 22:15:31,5963-12-08 22:15:31
354,422,974,4308,165,5424-04-20 23:42:58,5424-04-21 23:42:58,5430-02-12 23:42:58
539,928,599,4799,2800,6970-05-15 07:25:06,6970-05-16 07:25:06,6974-08-30 07:25:06
411,779,638,2577,4863,5452-09-01 21:08:24,5452-09-02 21:08:24,5457-11-25 21:08:24
62,586,539,2618,1679,5944-11-09 15:36:55,5944-11-10 15:36:55,5952-04-21 15:36:55
98,276,377,3439,668,5627-04-13 12:47:29,5627-04-14 12:47:29,5628-08-11 12:47:29
328,519,246,4990,1798,6348-12-20 14:29:07,6348-12-21 14:29:07,6356-07-18 14:29:07
139,994,402,2709,2953,6061-02-09 02:06:55,6061-02-10 02:06:55,6066-07-23 02:06:55
471,334,836,3421,2017,7013-08-31 14:56:55,7013-09-01 14:56:55,7016-06-28 14:56:55
391,537,488,2046,146,5176-10-24 05:26:31,5176-10-25 05:26:31,5178-04-08 05:26:31
151,248,778,1830,3296,5599-10-26 08:14:30,5599-10-27 08:14:30,5604-03-02 08:14:30
604,525,364,2209,4534,5768-03-04 07:24:04,5768-03-05 07:24:04,5773-04-24 07:24:04
196,140,669,1268,3568,5186-04-09 06:18:51,5186-04-10 06:18:51,5186-09-02 06:18:51
107,887,80,952,4558,5415-10-30 19:38:40,5415-10-31 19:38:40,5418-08-22 19:38:40
807,379,274,2724,3282,6523-04-13 16:46:57,6523-04-14 16:46:57,6527-12-08 16:46:57
428,470,370,3786,2016,6004-02-14 11:28:43,6004-02-15 11:28:43,6011-12-11 11:28:43
324,519,170,527,2087,6577-11-29 23:54:35,6577-11-30 23:54:35,6581-05-13 23:54:35
346,767,907,1005,4482,5285-08-05 14:08:47,5285-08-06 14:08:47,5287-02-05 14:08:47
383,260,628,729,4738,5803-10-13 11:42:02,5803-10-14 11:42:02,5809-08-20 11:42:02
936,12,756,2260,3272,6821-11-10 18:02:37,6821-11-11 18:02:37,6825-12-22 18:02:37
954,454,191,1167,3992,6634-07-28 01:15:39,6634-07-29 01:15:39,6642-01-20 01:15:39
772,83,218,4934,1747,5374-04-09 18:00:58,5374-04-10 18:00:58,5381-01-19 18:00:58
952,985,96,4859,158,6733-12-07 14:28:21,6733-12-08 14:28:21,6740-12-14 14:28:21
389,248,738,3421,2860,5874-05-22 04:27:05,5874-05-23 04:27:05,5877-07-28 04:27:05
227,211,132,4699,245,7067-10-16 02:39:38,7067-10-17 02:39:38,7073-02-01 02:39:38
846,608,762,1723,2925,5354-09-11 15:21:07,5354-09-12 15:21:07,5360-01-20 15:21:07
706,486,587,107,2708,5021-03-06 21:51:28,5021-03-07 21:51:28,5025-11-17 21:51:28
979,314,780,124,2135,5903-09-05 10:02:55,5903-09-06 10:02:55,5904-06-28 10:02:55
192,471,939,2909,2905,5575-01-15 18:18:29,5575-01-16 18:18:29,5581-01-05 18:18:29
50,654,983,4576,780,6092-07-09 15:15:49,6092-07-10 15:15:49,6094-09-24 15:15:49
93,769,939,2488,298,7197-05-23 15:07:57,7197-05-24 15:07:57,7199-05-31 15:07:57
480,916,720,836,2483,6930-11-19 05:42:27,6930-11-20 05:42:27,6938-05-22 05:42:27
450,436,823,1173,448,7096-02-16 20:16:52,7096-02-17 20:16:52,7099-11-05 20:16:52
530,872,850,2467,806,6507-09-05 21:29:32,6507-09-06 21:29:32,6512-07-19 21:29:32
611,357,722,1393,4711,5631-07-25 23:55:03,5631-07-26 23:55:03,5632-02-19 23:55:03
361,935,118,2726,119,6773-06-08 16:05:40,6773-06-09 16:05:40,6777-08-20 16:05:40
845,132,258,2517,3920,6097-02-13 23:57:39,6097-02-14 23:57:39,6103-04-22 23:57:39
793,271,111,2664,2214,6059-06-24 22:10:27,6059-06-25 22:10:27,6062-07-23 22:10:27
