trajetId,start_place,end_place,price
10,Belabo,Mokolo,9500
934,Mbouda,Bafoussam,6300
553,Mbalmayo,Gazawa,1500
752,Bali,Kousseri,3700
446,Essos,Batibo,4100
982,Kumba,Mokolo,2700
684,Kribi,Kousseri,1500
195,Garoua,Nkongsamba,7100
260,Mokolo,Bali Nyonga,5900
69,Bertoua,Nkongsamba,7500
355,Buea,Edéa,1900
876,Figuif,Mbandjock,3700
158,Boutours,Bonamoussadi,7900
408,Mbanga,Guider,2500
392,Bafoussam,Yaounde,2900
614,Mbalmayo,Bonanjo,3100
359,Yaounde,Edéa,7700
638,Mokolo,Batibo,7300
103,Nkongsamba,Bonanjo,700
834,Garoua,Bali Nyonga,9300
740,Boutours,Muyuka,2300
674,Bonaberi,Mokolo,6700
55,Bonaberi,Fontem,1100
667,Mbanga,Meiganga,4700
669,Buea,Garoua,1100
137,Banga Bakundu,Nanga-Eboko,9500
344,Yaounde,Bafia,1900
427,Bimbia,Meiganga,2300
976,Bafia,Guider,3700
805,Figuif,Bandjoun,8700
222,Beti,Loum,9100
580,Mora,Bafia,6300
122,Bafoussam,Belo,7300
395,Mbanga,Kribi,1700
343,Beti,Mutengene,9500
106,Bali Nyonga,Melong,4900
561,Nkongsamba,Mokolo,6100
759,Banga Bakundu,Belo,5700
288,Bertoua,Buea,500
339,Batibo,Dibombari,500
945,Bandjoun,Douala,7900
148,Yagoua,Bafia,9100
548,Boutours,Bafia,5100
490,Mbandjock,Mbanga,9300
46,Guider,Dibombari,700
955,Mokolo,Bertoua,7900
455,Bali Nyonga,Bertoua,6300
820,Bali Nyonga,Mbandjock,6100
559,Boutours,Mora,9100
52,Bali Nyonga,Bafoussam,7900
151,Bafia,Gazawa,6900
962,Essos,Garoua,3100
687,Douala,Mbandjock,1100
854,Batibo,Bandjoun,3900
830,Muyuka,Bafia,6300
351,Melong,Mokolo,7100
199,Dibombari,Buea,7500
575,Maroua,Mutengene,4900
287,Mbandjock,Bafoussam,5900
847,Guider,Kumba,5900
531,Mokolo,Garoua,9900
137,Campo,Bonakouamouang,2900
398,Fontem,Garoua,500
631,Figuif,Bamenda,6700
974,Mora,Nkongsamba,9100
599,Batibo,Banga Bakundu,5100
638,Edéa,Muyuka,5300
539,Gazawa,Mbouda,5500
377,Buea,Melong,700
246,Bonamoussadi,Bonabéri,5500
402,Bonamoussadi,Bandjoun,9100
836,Kumba,Bamenda,8700
488,Muyuka,Bertoua,5900
778,Banga Bakundu,Bonakouamouang,2900
364,Limbe,Belabo,4900
669,Beti,Fontem,4700
80,Campo,Belo,500
274,Fontem,Campo,9100
370,Kumba,Maroua,9100
170,Bertoua,Bimbia,9500
907,Bafang,Kumba,2500
628,Buea,Gazawa,1700
756,Figuif,Bali Nyonga,6100
191,Boutours,Belabo,2900
218,Mokolo,Garoua,2100
96,Bali,Bonabéri,7700
738,Kumba,Meiganga,8300
132,Limbe,Mokolo,2300
762,Batibo,Garoua,9900
587,Belo,Fontem,8300
780,Muyuka,Campo,3700
939,Figuif,Batibo,6900
983,Bamenda,Mora,5100
939,Bogo,Meiganga,3100
720,Mbalmayo,Bertoua,8500
823,Limbe,Edéa,4500
850,Bonamoussadi,Mbanga,8700
722,Gazawa,Buea,8300
118,Loum,Bamenda,3900
258,Kumba,Edéa,4700
111,Figuif,Maroua,3500
550,Douala,Belabo,2700
745,Bafang,Bandjoun,7900
541,Mora,Bonakouamouang,6700
809,Figuif,Bonakouamouang,4700
254,Bonanjo,Banga Bakundu,100
56,Muyuka,Campo,4500
466,Figuif,Mbandjock,1700
499,Messa,Mora,3300
985,Kousseri,Bertoua,6700
553,Bali,Bonaberi,6900
881,Bimbia,Edéa,9900
892,Essos,Dibombari,2500
798,Loum,Maroua,2500
251,Bali,Muyuka,1900
646,Mbanga,Bali Nyonga,8500
931,Melong,Campo,9500
271,Guider,Mbandjock,4100
705,Figuif,Bonaberi,5900
932,Belabo,Maroua,5300
658,Bonakouamouang,Meiganga,8100
828,Bogo,Fontem,5500
4,Kousseri,Yagoua,2900
23,Mbouda,Bali,6700
660,Mbandjock,Douala,5300
818,Garoua,Douala,100
246,Meiganga,Loum,1300
954,Yaounde,Kumba,7100
517,Yagoua,Buea,9300
568,Figuif,Bafia,8900
888,Bafoussam,Beti,1100
511,Guider,Bertoua,8300
249,Bafang,Boutours,1500
692,Bimbia,Dibombari,5300
598,Kousseri,Nkongsamba,2700
591,Buea,Mokolo,2100
605,Mokolo,Garoua,6900
594,Fontem,Belabo,7900
567,Nkongsamba,Boutours,7300
522,Mora,Mbalmayo,2700
821,Belo,Bonanjo,2700
978,Bali,Bonabéri,1100
811,Mora,Bertoua,2300
858,Yaounde,Melong,100
177,Edéa,Fontem,8300
387,Essos,Mbalmayo,4300
875,Dibombari,Bali,1500
310,Buea,Kousseri,4700
239,Belo,Dibombari,6900
749,Dibombari,Bafang,5100
602,Messa,Mbandjock,700
510,Campo,Limbe,2900
480,Bali,Bafoussam,9700
736,Nanga-Eboko,Bimbia,1100
198,Maroua,Bertoua,1100
914,Gazawa,Limbe,6100
426,Loum,Bafia,7700
203,Kribi,Melong,8900
384,Bafoussam,Edéa,2100
50,Guider,Mbanga,6700
961,Buea,Figuif,3500
7,Mora,Fontem,2500
8,Belo,Edéa,4900
245,Bafia,Bali Nyonga,2700
771,Mbouda,Belabo,9100
350,Kribi,Bogo,8900
230,Bogo,Mbalmayo,8500
191,Mutengene,Nanga-Eboko,6900
444,Nanga-Eboko,Kumba,2300
323,Buea,Mora,4900
223,Boutours,Campo,2500
932,Bafang,Boutours,7300
971,Bafang,Mbalmayo,1100
851,Maroua,Melong,6300
836,Guider,Yaounde,1500
226,Messa,Fontem,7300
771,Bafang,Bali Nyonga,3500
953,Limbe,Belabo,900
256,Fontem,Maroua,3300
956,Belabo,Bamenda,7700
318,Bafia,Loum,8100
483,Kousseri,Bandjoun,700
809,Bertoua,Garoua,1700
656,Mbanga,Batibo,9700
29,Bonaberi,Kribi,700
941,Mbanga,Beti,3100
377,Bertoua,Bafia,9900
666,Bertoua,Yaounde,6300
864,Muyuka,Loum,7100
812,Bamenda,Buea,100
185,Belabo,Nanga-Eboko,8300
35,Loum,Dibombari,100
596,Belo,Bamenda,7900
990,Bonaberi,Buea,3900
189,Essos,Nkongsamba,9300
327,Bali,Mbandjock,4500
209,Buea,Bafoussam,7900
365,Batibo,Garoua,2100
