vehiculeId,plannerId
895,3297
692,1562
265,689
54,536
610,4821
151,1456
863,2676
363,3203
408,4496
791,1647
331,3150
481,615
386,58
931,3894
730,3607
674,3809
394,349
380,3629
793,4661
944,823
498,3926
445,1220
161,4951
398,95
252,3581
319,4326
700,2010
679,2299
334,195
206,3567
35,4424
805,4312
774,2107
41,1734
58,3757
829,4497
124,1075
499,652
535,1214
257,3381
571,3799
53,4143
776,935
764,3112
642,1979
253,1556
690,862
132,1760
838,1536
58,2055
100,3651
584,116
585,1188
38,517
370,2338
623,4191
292,2221
934,4805
668,2192
179,2584
432,4401
955,192
590,4307
637,4711
259,3821
283,4178
108,3261
806,4206
738,2781
104,4186
907,2248
891,299
291,599
722,4965
813,2927
210,4740
7,2585
388,3107
241,2894
640,4080
579,672
733,4859
425,2768
826,3819
49,2016
597,3864
519,44
547,3321
530,595
512,4576
63,27
853,4077
343,4787
397,2035
861,2375
947,50
256,3243
122,2347
21,4548
905,874
544,1607
520,1313
796,4782
146,2882
649,672
193,540
483,3249
262,4858
163,1126
770,1577
603,506
11,688
877,1740
342,2908
999,1410
260,127
304,615
507,2498
642,3647
769,2139
766,237
329,129
718,211
225,836
880,3640
536,413
756,4830
132,2591
892,2064
272,4737
606,381
144,3579
898,270
83,2291
538,993
54,3905
513,3851
765,2218
578,4788
889,2371
56,3172
668,2684
440,4865
915,2249
413,1149
648,1805
350,336
36,703
486,341
965,707
737,3569
147,2101
884,3452
557,4307
798,1925
290,1901
822,260
298,3059
917,1612
319,1694
296,1117
654,4958
927,2073
73,4069
947,2179
664,3298
955,1700
904,4385
140,2890
75,2812
160,3881
753,1753
339,2279
731,4385
222,872
915,1051
692,2258
706,1023
414,2442
505,3132
148,2730
638,238
471,848
747,2138
307,2329
780,3914
869,1064
325,3392
454,2686
231,4582
616,4503
581,3314
24,4401
12,1268
309,4357
769,952
223,4317
520,1969
259,2212
341,3286
891,3028
31,1652
357,1212
590,3780
490,3885
934,2086
479,4360
341,3603
882,2694
225,2168
579,195
577,344
636,2122
76,1245
176,3297
183,4564
314,473
192,3123
347,2627
524,4173
762,4460
8,3962
511,561
641,2790
410,4965
955,2914
417,2283
39,4202
921,253
447,2254
464,4234
2,548
670,2266
338,4552
339,1003
232,524
754,4990
165,2338
26,2414
203,504
654,4395
567,3449
836,158
872,2750
844,3603
70,3023
156,195
354,1943
495,2783
420,2745
959,3769
135,1494
719,629
105,3160
780,506
338,4791
86,2783
